group_id,RED_id,RED_choice,BLUE_id,BLUE_choice,GREEN_id,GREEN_choice,condition
1,A016,Triangle,A017,Triangle,A039,O,without_intervention
2,A015,Square,A058,Square,A073,O,without_intervention
3,A094,Triangle,A001,Triangle,A025,I,with_intervention
4,A088,Square,A063,Square,A098,O,without_intervention
5,A009,Triangle,A069,Triangle,A064,O,without_intervention
6,A081,Triangle,A012,Triangle,A059,I,with_intervention
7,A100,Triangle,A060,Triangle,A083,O,without_intervention
8,A053,Triangle,A078,Triangle,A036,I,with_intervention
9,A004,Square,A055,Square,A061,O,without_intervention
10,A031,Triangle,A090,Triangle,A095,O,without_intervention
11,A024,Triangle,A077,Square,A048,O,without_intervention
12,A020,Triangle,A051,Triangle,A070,I,with_intervention
13,A052,Triangle,A027,Triangle,A023,I,with_intervention
14,A002,Square,A005,Square,A065,O,without_intervention
15,A076,Square,A043,Triangle,A008,O,without_intervention
16,A030,Triangle,A028,Triangle,A044,O,without_intervention
17,A047,Square,A097,Triangle,A067,O,without_intervention
18,A056,Square,A096,Square,A010,O,without_intervention
19,A099,Square,A079,Square,A003,O,without_intervention
20,A042,Square,A068,Square,A071,O,without_intervention
21,A032,Triangle,A029,Triangle,A057,O,without_intervention
22,A086,Square,A034,Square,A049,O,without_intervention
23,A019,Triangle,A093,Square,A054,O,without_intervention
24,A085,Triangle,A035,Triangle,A075,I,with_intervention
25,A072,Triangle,A074,Triangle,A087,O,without_intervention
26,A037,Square,A082,Square,A007,O,without_intervention
27,A026,Square,A014,Square,A038,O,without_intervention
28,A046,Triangle,A089,Square,A050,O,without_intervention
29,A066,Square,A013,Square,A062,O,without_intervention
30,A033,Square,A080,Triangle,A092,O,without_intervention
31,A018,Triangle,A040,Triangle,A011,I,with_intervention
32,A091,Triangle,A021,Square,A022,O,without_intervention
33,A041,Triangle,A006,Triangle,A084,O,without_intervention
