agent_id,condition,rating
A001,intentional,7
A002,intentional,7
A003,intentional,7
A004,intentional,7
A005,intentional,7
A006,intentional,7
A007,intentional,7
A008,intentional,7
A009,intentional,7
A010,intentional,7
A011,intentional,7
A012,intentional,7
A013,intentional,7
A014,intentional,7
A015,intentional,7
A016,intentional,7
A017,intentional,7
A018,intentional,7
A019,intentional,7
A020,intentional,7
A021,intentional,7
A022,intentional,7
A023,intentional,7
A024,intentional,7
A025,intentional,7
A026,intentional,7
A027,intentional,7
A028,intentional,7
A029,intentional,7
A030,intentional,7
A031,intentional,7
A032,intentional,7
A033,intentional,7
A034,intentional,7
A035,intentional,7
A036,intentional,7
A037,intentional,7
A038,intentional,7
A039,intentional,7
A040,intentional,7
A041,intentional,7
A042,intentional,7
A043,intentional,7
A044,intentional,7
A045,intentional,7
A046,intentional,7
A047,intentional,7
A048,intentional,7
A049,intentional,7
A050,intentional,7
A051,unintentional,3
A052,unintentional,3
A053,unintentional,3
A054,unintentional,4
A055,unintentional,3
A056,unintentional,4
A057,unintentional,3
A058,unintentional,3
A059,unintentional,4
A060,unintentional,4
A061,unintentional,3
A062,unintentional,3
A063,unintentional,3
A064,unintentional,3
A065,unintentional,3
A066,unintentional,3
A067,unintentional,3
A068,unintentional,3
A069,unintentional,4
A070,unintentional,3
A071,unintentional,3
A072,unintentional,3
A073,unintentional,3
A074,unintentional,3
A075,unintentional,3
A076,unintentional,3
A077,unintentional,3
A078,unintentional,3
A079,unintentional,3
A080,unintentional,4
A081,unintentional,3
A082,unintentional,3
A083,unintentional,4
A084,unintentional,3
A085,unintentional,3
A086,unintentional,4
A087,unintentional,4
A088,unintentional,3
A089,unintentional,3
A090,unintentional,3
A091,unintentional,3
A092,unintentional,3
A093,unintentional,3
A094,unintentional,4
A095,unintentional,4
A096,unintentional,3
A097,unintentional,3
A098,unintentional,3
A099,unintentional,3
A100,unintentional,3
